"","X","republican","democrat","place_lat","place_lon"
"283",4290,1,0,33.935822,-117.397616
"284",4301,1,0,34.08701,-118.369645
"285",4332,1,0,32.39192,-83.337803
"286",4344,0,1,27.53208,-99.454676
"287",4361,0,1,40.3651595,-82.6694675
"288",4373,0,1,32.81986,-96.7617535
"289",4388,0,1,36.895082,-76.255686
"290",4389,0,1,36.895082,-76.255686
"291",4394,1,0,30.00124,-90.1786295
"292",4397,1,0,35.1705,-79.861034
"293",4398,1,0,40.70041,-73.6767225
"294",4443,0,1,25.8813045,-80.242949
"295",4447,0,1,25.8813045,-80.242949
"296",4473,1,0,34.0976985,-117.386642
"297",4490,1,0,32.70185,-97.1356375
"298",4495,1,1,35.8439815,-78.657837
"299",4510,1,0,39.99468,-82.985772
"300",4521,1,0,32.81001,-117.104989
"301",4533,1,0,32.70185,-97.1356375
"302",4540,1,0,35.99098,-78.8954405
"303",4544,0,1,35.99098,-78.8954405
"304",4568,0,1,29.838495,-95.4464865
"305",4574,1,0,43.05261,-76.1288105
"306",4658,1,0,32.521243,-92.0767015
"307",4684,0,1,33.487308,-80.865446
"308",4728,0,1,37.77066,-122.4359785
"309",4731,0,1,37.77066,-122.4359785
"310",4747,1,0,38.2476,-122.009156
"311",4754,1,0,40.36516,-82.6694675
"312",4755,1,0,39.90596,-84.202256
"313",4762,1,0,39.71356,-104.9220935
"314",4778,1,0,39.11262,-121.6559115
"315",4783,1,0,41.40885,-82.362201
"316",4823,1,0,36.098958,-79.505934
"317",4835,1,0,41.83358,-87.732013
"318",4871,1,0,36.298144,-95.818827
"319",4874,1,1,40.65514,-73.9487755
"320",4908,0,1,33.69253,-117.2592945
"321",5616,1,0,32.84527,-96.4710005
"322",5635,1,0,37.75869,-100.0104915
"323",5639,0,1,37.090301,-76.5078085
"324",5644,0,1,35.20906,-80.8467855
"325",5647,1,0,40.80646,-73.17406
"326",5697,0,1,33.1966005,-87.5334065
"327",5704,1,1,27.998056,-82.368322
"328",5707,0,1,38.3604215,-75.600576
"329",5731,0,1,29.8385,-95.4464865
"330",5735,0,1,42.51505,-70.9075225
"331",5738,1,0,33.80917,-118.1567105
"332",5788,1,0,42.27576,-71.812438
"333",5811,1,0,44.900818,-89.5694915
"334",5825,1,0,35.9909825,-78.8954405
"335",5826,1,0,35.9909825,-78.8954405
"336",5837,1,0,29.876808,-90.063763
"337",5882,1,0,38.699453,-76.8678605
"338",5903,1,0,35.98247,-83.9638415
"339",5940,1,0,40.431389,-79.9806895
"340",5951,0,1,41.09747,-80.7611585
"341",5957,0,1,34.02079,-118.4119065
"342",5963,1,0,41.84378,-87.7588005
"343",5996,0,1,39.1000485,-94.5592815
"344",6030,0,1,41.83358,-87.732013
"345",6044,0,1,42.3527865,-83.099288
"346",6055,1,0,30.4591,-91.0907995
"347",6116,0,1,40.62132,-79.1515525
"348",6119,0,1,34.0207895,-118.4119065
"349",6129,1,0,26.02789,-80.3279985
"350",6147,1,0,32.364145,-86.2447285
"351",6158,0,1,34.415631,-118.5032585
"352",6173,1,0,29.9015445,-93.9559185
"353",6181,0,1,40.12994,-86.22065
"354",6182,1,0,30.4762155,-84.266174
"355",6191,1,0,40.54959,-84.5572625
"356",6196,1,0,34.492627,-117.195485
"357",6197,1,0,34.492627,-117.195485
"358",6209,0,1,35.4455505,-84.6069185
"359",6217,1,1,35.0731115,-92.430839
"360",6252,1,0,32.84882,-83.6540795
