"","count","X","name","unicode","bytes","emojiid","rencoding","dens","dens_sm"
"135",175,566,"revolving hearts","U+1F49E","\xF0\x9F\x92\x9E",566,"<ed><a0><bd><ed><b2><9e>",0.1,9.6890903045237e-05
"136",174,206,"ballot box with check","U+2611","\xE2\x98\x91",206,"<e2><98><91>",0.1,9.63403865506618e-05
"137",174,350,"wine glass","U+1F377","\xF0\x9F\x8D\xB7",350,"<ed><a0><bc><ed><bd><b7>",0.1,9.63403865506618e-05
"138",171,730,"worried face","U+1F61F","\xF0\x9F\x98\x9F",730,"<ed><a0><bd><ed><b8><9f>",0.1,9.46888370669362e-05
"139",170,14,"face with cold sweat","U+1F613","\xF0\x9F\x98\x93",14,"<ed><a0><bd><ed><b8><93>",0.1,9.4138320572361e-05
"140",169,165,"exclamation question mark","U+2049","\xE2\x81\x89",165,"<e2><81><89>",0.1,9.35878040777858e-05
"141",167,25,"persevering face","U+1F623","\xF0\x9F\x98\xA3",25,"<ed><a0><bd><ed><b8><a3>",0.1,9.24867710886354e-05
"142",164,774,"earth globe americas","U+1F30E","\xF0\x9F\x8C\x8E",774,"<ed><a0><bc><ed><bc><8e>",0.1,9.08352216049097e-05
"143",163,27,"disappointed but relieved face","U+1F625","\xF0\x9F\x98\xA5",27,"<ed><a0><bd><ed><b8><a5>",0.1,9.02847051103345e-05
"144",162,560,"heart with arrow","U+1F498","\xF0\x9F\x92\x98",560,"<ed><a0><bd><ed><b2><98>",0.1,8.97341886157593e-05
"145",161,737,"face without mouth","U+1F636","\xF0\x9F\x98\xB6",737,"<ed><a0><bd><ed><b8><b6>",0.1,8.91836721211841e-05
"146",158,788,"baby bottle","U+1F37C","\xF0\x9F\x8D\xBC",788,"<ed><a0><bc><ed><bd><bc>",0.1,8.75321226374585e-05
"147",152,731,"frowning face with open mouth","U+1F626","\xF0\x9F\x98\xA6",731,"<ed><a0><bd><ed><b8><a6>",0.1,8.42290236700072e-05
"148",152,780,"new moon with face","U+1F31A","\xF0\x9F\x8C\x9A",780,"<ed><a0><bc><ed><bc><9a>",0.1,8.42290236700072e-05
"149",150,270,"rainbow","U+1F308","\xF0\x9F\x8C\x88",270,"<ed><a0><bc><ed><bc><88>",0.1,8.31279906808568e-05
"150",148,783,"sun with face","U+1F31E","\xF0\x9F\x8C\x9E",783,"<ed><a0><bc><ed><bc><9e>",0.1,8.20269576917064e-05
"151",143,61,"airplane","U+2708","\xE2\x9C\x88",61,"<e2><9c><88>",0.1,7.92743752188303e-05
"152",141,530,"japanese goblin","U+1F47A","\xF0\x9F\x91\xBA",530,"<ed><a0><bd><ed><b1><ba>",0.1,7.81733422296799e-05
"153",136,480,"tongue","U+1F445","\xF0\x9F\x91\x85",480,"<ed><a0><bd><ed><b1><85>",0.1,7.54207597568038e-05
"154",134,42,"smiling cat face with heart-shaped eyes","U+1F63B","\xF0\x9F\x98\xBB",42,"<ed><a0><bd><ed><b8><bb>",0.1,7.43197267676534e-05
"155",132,287,"cactus","U+1F335","\xF0\x9F\x8C\xB5",287,"<ed><a0><bc><ed><bc><b5>",0.1,7.3218693778503e-05
"156",125,286,"palm tree","U+1F334","\xF0\x9F\x8C\xB4",286,"<ed><a0><bc><ed><bc><b4>",0.1,6.93650783164765e-05
"157",124,443,"honeybee","U+1F41D","\xF0\x9F\x90\x9D",443,"<ed><a0><bd><ed><b0><9d>",0.1,6.88145618219013e-05
"158",124,571,"bomb","U+1F4A3","\xF0\x9F\x92\xA3",571,"<ed><a0><bd><ed><b2><a3>",0.1,6.88145618219013e-05
"159",123,410,"runner","U+1F3C3","\xF0\x9F\x8F\x83",410,"<ed><a0><bc><ed><bf><83>",0.1,6.82640453273261e-05
"160",122,177,"trade mark sign","U+2122","\xE2\x84\xA2",177,"<e2><84><a2>",0.1,6.77135288327509e-05
"161",120,585,"heavy dollar sign","U+1F4B2","\xF0\x9F\x92\xB2",585,"<ed><a0><bd><ed><b2><b2>",0.1,6.66124958436005e-05
"162",119,661,"key","U+1F511","\xF0\x9F\x94\x91",661,"<ed><a0><bd><ed><b4><91>",0.1,6.60619793490253e-05
"163",114,518,"police officer","U+1F46E","\xF0\x9F\x91\xAE",518,"<ed><a0><bd><ed><b1><ae>",0.1,6.33093968761492e-05
"164",113,379,"microphone","U+1F3A4","\xF0\x9F\x8E\xA4",379,"<ed><a0><bc><ed><be><a4>",0.1,6.2758880381574e-05
"165",113,452,"bird","U+1F426","\xF0\x9F\x90\xA6",452,"<ed><a0><bd><ed><b0><a6>",0.1,6.2758880381574e-05
"166",113,735,"hushed face","U+1F62F","\xF0\x9F\x98\xAF",735,"<ed><a0><bd><ed><b8><af>",0.1,6.2758880381574e-05
"167",107,588,"banknote with dollar sign","U+1F4B5","\xF0\x9F\x92\xB5",588,"<ed><a0><bd><ed><b2><b5>",0.1,5.94557814141227e-05
"168",105,288,"tulip","U+1F337","\xF0\x9F\x8C\xB7",288,"<ed><a0><bc><ed><bc><b7>",0.1,5.83547484249723e-05
"169",104,407,"basketball and hoop","U+1F3C0","\xF0\x9F\x8F\x80",407,"<ed><a0><bc><ed><bf><80>",0.1,5.78042319303971e-05
"170",101,467,"dog face","U+1F436","\xF0\x9F\x90\xB6",467,"<ed><a0><bd><ed><b0><b6>",0.1,5.61526824466715e-05
"171",95,131,"squared new","U+1F195","\xF0\x9F\x86\x95",131,"<ed><a0><bc><ed><b6><95>",0.1,5.28495834792202e-05
"172",93,290,"rose","U+1F339","\xF0\x9F\x8C\xB9",290,"<ed><a0><bc><ed><bc><b9>",0.1,5.17485504900698e-05
"173",93,396,"musical note","U+1F3B5","\xF0\x9F\x8E\xB5",396,"<ed><a0><bc><ed><be><b5>",0.1,5.17485504900698e-05
"174",91,465,"horse face","U+1F434","\xF0\x9F\x90\xB4",465,"<ed><a0><bd><ed><b0><b4>",0.1,5.06475175009194e-05
"175",89,532,"baby angel","U+1F47C","\xF0\x9F\x91\xBC",532,"<ed><a0><bd><ed><b1><bc>",0,4.95464845117689e-05
"176",88,468,"pig face","U+1F437","\xF0\x9F\x90\xB7",468,"<ed><a0><bd><ed><b0><b7>",0,4.89959680171937e-05
"177",87,357,"birthday cake","U+1F382","\xF0\x9F\x8E\x82",357,"<ed><a0><bc><ed><be><82>",0,4.84454515226185e-05
"178",87,528,"princess","U+1F478","\xF0\x9F\x91\xB8",528,"<ed><a0><bd><ed><b1><b8>",0,4.84454515226185e-05
"179",86,491,"open hands sign","U+1F450","\xF0\x9F\x91\x90",491,"<ed><a0><bd><ed><b1><90>",0,4.78949350280433e-05
"180",85,403,"musical score","U+1F3BC","\xF0\x9F\x8E\xBC",403,"<ed><a0><bc><ed><be><bc>",0,4.73444185334681e-05
"181",85,531,"ghost","U+1F47B","\xF0\x9F\x91\xBB",531,"<ed><a0><bd><ed><b1><bb>",0,4.73444185334681e-05
"182",83,650,"television","U+1F4FA","\xF0\x9F\x93\xBA",650,"<ed><a0><bd><ed><b3><ba>",0,4.62433855443177e-05
"183",82,515,"woman","U+1F469","\xF0\x9F\x91\xA9",515,"<ed><a0><bd><ed><b1><a9>",0,4.56928690497425e-05
"184",81,250,"upwards black arrow","U+2B06","\xE2\xAC\x86",250,"<e2><ac><86>",0,4.51423525551673e-05
"185",81,297,"four leaf clover","U+1F340","\xF0\x9F\x8D\x80",297,"<ed><a0><bc><ed><bd><80>",0,4.51423525551673e-05
"186",81,693,"large red circle","U+1F534","\xF0\x9F\x94\xB4",693,"<ed><a0><bd><ed><b4><b4>",0,4.51423525551673e-05
"187",81,801,"dragon","U+1F409","\xF0\x9F\x90\x89",801,"<ed><a0><bd><ed><b0><89>",0,4.51423525551673e-05
"188",80,87,"rocket","U+1F680","\xF0\x9F\x9A\x80",87,"<ed><a0><bd><ed><ba><80>",0,4.4591836060592e-05
"189",80,519,"woman with bunny ears","U+1F46F","\xF0\x9F\x91\xAF",519,"<ed><a0><bd><ed><b1><af>",0,4.4591836060592e-05
"190",79,134,"squared sos","U+1F198","\xF0\x9F\x86\x98",134,"<ed><a0><bc><ed><b6><98>",0,4.40413195660168e-05
"191",79,477,"ear","U+1F442","\xF0\x9F\x91\x82",477,"<ed><a0><bd><ed><b1><82>",0,4.40413195660168e-05
"192",78,365,"confetti ball","U+1F38A","\xF0\x9F\x8E\x8A",365,"<ed><a0><bc><ed><be><8a>",0,4.34908030714416e-05
"193",78,533,"extraterrestrial alien","U+1F47D","\xF0\x9F\x91\xBD",533,"<ed><a0><bd><ed><b1><bd>",0,4.34908030714416e-05
"194",77,73,"snowflake","U+2744","\xE2\x9D\x84",73,"<e2><9d><84>",0,4.29402865768664e-05
"195",77,228,"black universal recycling symbol","U+267B","\xE2\x99\xBB",228,"<e2><99><bb>",0,4.29402865768664e-05
